repo_name,user_name,repo_url,no_stars
octotree,ovity,https://github.com/ovity/octotree,21600
gitpod,gitpod-io,https://github.com/gitpod-io/gitpod,5300
danger,danger,https://github.com/danger/danger,4600
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,4300
danger-js,danger,https://github.com/danger/danger-js,4000
awesome-code-review,joho,https://github.com/joho/awesome-code-review,3100
hound,houndci,https://github.com/houndci/hound,1900
nodejsscan,ajinabraham,https://github.com/ajinabraham/nodejsscan,1800
mutant,mbj,https://github.com/mbj/mutant,1800
vscode-pull-request-github,microsoft,https://github.com/microsoft/vscode-pull-request-github,1700
cargo-crev,crev-dev,https://github.com/crev-dev/cargo-crev,1400
reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,1400
python_sec,bit4woo,https://github.com/bit4woo/python_sec,992
code-review-tips,ryanmcdermott,https://github.com/ryanmcdermott/code-review-tips,986
java-concurrency,code-review-checklists,https://github.com/code-review-checklists/java-concurrency,951
Audit-Learning,jiangsir404,https://github.com/jiangsir404/Audit-Learning,809
codestream,TeamCodeStream,https://github.com/TeamCodeStream/codestream,659
enlightn,enlightn,https://github.com/enlightn/enlightn,545
gerrit-intellij-plugin,uwolfer,https://github.com/uwolfer/gerrit-intellij-plugin,424
policy-bot,palantir,https://github.com/palantir/policy-bot,415
cpp-project,bsamseth,https://github.com/bsamseth/cpp-project,411
diffr,mookid,https://github.com/mookid/diffr,380
code-review-checklist,mgreiler,https://github.com/mgreiler/code-review-checklist,329
static-review,sjparkinson,https://github.com/sjparkinson/static-review,328
raptor,dpnishant,https://github.com/dpnishant/raptor,326
shiba,burrito-brothers,https://github.com/burrito-brothers/shiba,286
github-review,charignon,https://github.com/charignon/github-review,249
lookout,src-d,https://github.com/src-d/lookout,144
gerrit-rest-java-client,uwolfer,https://github.com/uwolfer/gerrit-rest-java-client,139
owasp-orizon,thesp0nge,https://github.com/thesp0nge/owasp-orizon,134
