repo_name,user_name,repo_url,no_stars
public-apis,public-apis,https://github.com/public-apis/public-apis,162000
httpie,httpie,https://github.com/httpie/httpie,52200
neovim,neovim,https://github.com/neovim/neovim,47400
strapi,strapi,https://github.com/strapi/strapi,40100
fastapi,tiangolo,https://github.com/tiangolo/fastapi,36400
slate,slatedocs,https://github.com/slatedocs/slate,33200
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,31500
graphql-engine,hasura,https://github.com/hasura/graphql-engine,24100
yapi,YMFE,https://github.com/YMFE/yapi,22600
django-rest-framework,encode,https://github.com/encode/django-rest-framework,22000
ItChat,littlecodersh,https://github.com/littlecodersh/ItChat,21800
NeteaseCloudMusicApi,Binaryify,https://github.com/Binaryify/NeteaseCloudMusicApi,21500
ccxt,ccxt,https://github.com/ccxt/ccxt,21300
normalizr,paularmstrong,https://github.com/paularmstrong/normalizr,20500
security-guide-for-developers,FallibleInc,https://github.com/FallibleInc/security-guide-for-developers,19900
insomnia,Kong,https://github.com/Kong/insomnia,18000
api-guidelines,microsoft,https://github.com/microsoft/api-guidelines,17600
API-Security-Checklist,shieldfy,https://github.com/shieldfy/API-Security-Checklist,16000
learn-anything,learn-anything,https://github.com/learn-anything/learn-anything,13300
wxpy,youfou,https://github.com/youfou/wxpy,13000
jsdoc,jsdoc,https://github.com/jsdoc/jsdoc,12400
directus,directus,https://github.com/directus/directus,12200
brain.js,BrainJS,https://github.com/BrainJS/brain.js,12200
web3.js,ChainSafe,https://github.com/ChainSafe/web3.js,11500
postgraphile,graphile,https://github.com/graphile/postgraphile,10700
micro,micro,https://github.com/micro/micro,10400
httpbin,postmanlabs,https://github.com/postmanlabs/httpbin,10200
chi,go-chi,https://github.com/go-chi/chi,10200
showdoc,star7th,https://github.com/star7th/showdoc,9900
openapi-generator,OpenAPITools,https://github.com/OpenAPITools/openapi-generator,9900
