repo_name,user_name,repo_url,no_stars
infinite-scroll,metafizzy,https://github.com/metafizzy/infinite-scroll,7000
Blog,ljianshu,https://github.com/ljianshu/Blog,6700
unfetch,developit,https://github.com/developit/unfetch,5200
form,jquery-form,https://github.com/jquery-form/form,5100
elFinder,Studio-42,https://github.com/Studio-42/elFinder,4100
tabulator,olifolkerd,https://github.com/olifolkerd/tabulator,4100
reqwest,ded,https://github.com/ded/reqwest,2900
learn-to-send-email-via-google-script-html-no-server,dwyl,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,2600
bliss,LeaVerou,https://github.com/LeaVerou/bliss,2300
wretch,elbywan,https://github.com/elbywan/wretch,2300
featherlight,noelboss,https://github.com/noelboss/featherlight,2000
Ajax-hook,wendux,https://github.com/wendux/Ajax-hook,1800
jquery-confirm,craftpip,https://github.com/craftpip/jquery-confirm,1800
web-interview,yisainan,https://github.com/yisainan/web-interview,1600
sente,ptaoussanis,https://github.com/ptaoussanis/sente,1600
Enterprise,joaomilho,https://github.com/joaomilho/Enterprise,1500
tracy,nette,https://github.com/nette/tracy,1400
jeeplatform,u014427391,https://github.com/u014427391/jeeplatform,1300
pjax,MoOx,https://github.com/MoOx/pjax,1200
css-spinner,loadingio,https://github.com/loadingio/css-spinner,1200
eCommerce,codingforentrepreneurs,https://github.com/codingforentrepreneurs/eCommerce,1100
uploader,danielm,https://github.com/danielm/uploader,1100
render_async,renderedtext,https://github.com/renderedtext/render_async,1000
saber,swlib,https://github.com/swlib/saber,927
infinite-ajax-scroll,webcreate,https://github.com/webcreate/infinite-ajax-scroll,830
opensource-socialnetwork,opensource-socialnetwork,https://github.com/opensource-socialnetwork/opensource-socialnetwork,794
RestClient,proyecto26,https://github.com/proyecto26/RestClient,793
rapid.js,rapidjs,https://github.com/rapidjs/rapid.js,706
tsrpc,k8w,https://github.com/k8w/tsrpc,579
JavaScriptStudy,csxiaoyaojianxian,https://github.com/csxiaoyaojianxian/JavaScriptStudy,573
