repo_name,user_name,repo_url,no_stars
ansible,ansible,https://github.com/ansible/ansible,50000
streisand,StreisandEffect,https://github.com/StreisandEffect/streisand,22600
algo,trailofbits,https://github.com/trailofbits/algo,21600
devops-exercises,bregman-arie,https://github.com/bregman-arie/devops-exercises,17200
kubespray,kubernetes-sigs,https://github.com/kubernetes-sigs/kubespray,11300
awx,ansible,https://github.com/ansible/awx,10200
kubeasz,easzlab,https://github.com/easzlab/kubeasz,7400
ansible-for-devops,geerlingguy,https://github.com/geerlingguy/ansible-for-devops,5000
semaphore,ansible-semaphore,https://github.com/ansible-semaphore/semaphore,4400
rundeck,rundeck,https://github.com/rundeck/rundeck,4300
mac-dev-playbook,geerlingguy,https://github.com/geerlingguy/mac-dev-playbook,4000
DevOps-Guide,Tikam02,https://github.com/Tikam02/DevOps-Guide,3900
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,3900
molecule,ansible-community,https://github.com/ansible-community/molecule,3200
DetectionLab,clong,https://github.com/clong/DetectionLab,3100
opendevops,opendevops-cn,https://github.com/opendevops-cn/opendevops,2900
OpsManage,welliamcao,https://github.com/welliamcao/OpsManage,2800
werf,werf,https://github.com/werf/werf,2700
netboot.xyz,netbootxyz,https://github.com/netbootxyz/netboot.xyz,2600
ansible-lint,ansible-community,https://github.com/ansible-community/ansible-lint,2600
ansible-collection-hardening,dev-sec,https://github.com/dev-sec/ansible-collection-hardening,2400
chrome-aws-lambda,alixaxel,https://github.com/alixaxel/chrome-aws-lambda,2400
trellis,roots,https://github.com/roots/trellis,2300
litmus,litmuschaos,https://github.com/litmuschaos/litmus,2200
deploy,ansistrano,https://github.com/ansistrano/deploy,2100
openshift-ansible,openshift,https://github.com/openshift/openshift-ansible,2000
ansible-cmdb,fboender,https://github.com/fboender/ansible-cmdb,2000
pytest-testinfra,pytest-dev,https://github.com/pytest-dev/pytest-testinfra,1900
ansible-tuto,leucos,https://github.com/leucos/ansible-tuto,1900
infrastructure-as-code-tutorial,Artemmkin,https://github.com/Artemmkin/infrastructure-as-code-tutorial,1900
